Rk,Player,Pos,Squad,Age,Born,90s played,Yellow Card,Red Card,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interception,Takles won
333,Khalid Al Ghannam,MF,sa Saudi Arabia,25,2000,0,0,0,0,0,0,0,0,0,0
334,Ismaël Gharbi,MF,tn Tunisia,22,2004,1.4,0,0,0,0,2,0,1,1,1
335,Mehdi Ghayedi,FW,ir IR Iran,27,1998,0.5,0,0,0,2,1,0,3,0,0
336,Farés Ghedjemis,FWMF,dz Algeria,23,2002,0,0,0,0,0,0,0,0,0,0
337,Saman Ghoddos,MF,ir IR Iran,32,1993,2.3,0,0,0,3,0,1,1,5,4
338,Mohammad Ghorbani,MF,ir IR Iran,25,2001,1,0,0,0,2,1,0,0,2,2
339,Lee Gi-hyuk,DF,kr Korea Republic,25,2000,3,1,0,0,2,1,0,2,5,4
340,Armin Gigovic,MF,ba Bosnia–Herz,24,2002,0.9,0,0,0,0,2,0,0,2,1
341,Orlando Gill,GK,py Paraguay,26,2000,5.3,0,0,0,0,3,0,0,0,0
342,Santiago Giménez,FW,mx Mexico,25,2001,1,0,0,0,1,3,0,0,0,0
343,Aníbal Godoy,MF,pa Panama,36,1990,0,0,0,0,0,1,0,1,0,0
344,Andrés Gómez,MF,co Colombia,23,2002,0,0,0,0,0,0,0,0,1,0
345,Diego Gómez,MF,py Paraguay,23,2003,3.4,2,0,0,5,1,0,1,9,6
346,Gustavo Gómez,DF,py Paraguay,33,1993,5.3,0,0,0,3,2,1,0,2,3
347,Armando González,FW,mx Mexico,23,2003,0.2,0,0,0,1,0,0,0,0,0
348,Nicolás González,MF,ar Argentina,28,1998,2.9,0,0,0,4,3,2,6,1,3
349,Anthony Gordon,MF,eng England,25,2001,4.4,0,0,0,4,10,0,8,3,3
350,Leon Goretzka,MF,de Germany,31,1995,1.1,0,0,0,0,0,0,1,1,1
351,Kenji Gorré,FWMF,cw Curaçao,31,1994,0.2,0,0,0,0,0,0,0,0,0
352,Keisuke Got?,FW,jp Japan,21,2005,0.1,0,0,0,0,1,0,0,0,1
353,Amine Gouiri,FW,dz Algeria,26,2000,2.8,0,0,0,1,1,0,1,0,1
354,Ryan Gravenberch,MF,nl Netherlands,24,2002,3.8,0,0,0,5,3,0,4,6,1
355,Michael Gregoritsch,FW,at Austria,32,1994,2.1,0,0,0,1,1,2,0,0,0
356,Florian Grillitsch,DFMF,at Austria,30,1995,1,0,0,0,3,1,0,1,0,1
357,Pascal Groß,DFMF,de Germany,34,1991,0.2,0,0,0,1,0,0,1,0,2
358,Gabriel Gudmundsson,MFDF,se Sweden,27,1999,3.7,1,0,0,5,7,0,4,5,3
359,Cho Gue-sung,FW,kr Korea Republic,28,1998,0.3,1,0,0,1,0,0,0,0,0
360,Marc Guéhi,DF,eng England,25,2000,7.4,1,0,0,4,13,0,0,6,1
361,Evann Guessand,FWMF,ci Côte d'Ivoire,24,2001,0.2,0,0,0,1,0,0,0,0,0
362,Idrissa Gueye,MF,sn Senegal,36,1989,4,0,0,0,2,2,0,1,2,4
363,Pape Gueye,MF,sn Senegal,27,1999,2.6,1,0,0,4,2,0,3,4,1
364,Bruno Guimarães,MF,br Brazil,28,1997,4.6,0,0,0,4,7,0,16,2,6
365,Deniz Gül,FW,tr Türkiye,21,2004,0.4,0,0,0,2,0,0,0,0,0
366,Arda Güler,MF,tr Türkiye,21,2005,3,0,0,0,3,10,2,14,2,3
367,Angus Gunn,GK,sct Scotland,30,1996,3,0,0,0,0,0,0,0,0,1
368,Malo Gusto,DF,fr France,23,2003,1.3,0,0,0,4,2,0,2,2,3
369,Brian Gutiérrez,MF,mx Mexico,22,2003,2.2,1,0,0,5,3,0,5,2,1
370,Jorge Gutiérrez,DF,pa Panama,27,1998,1,0,0,0,1,2,0,0,1,1
371,Joško Gvardiol,DF,hr Croatia,24,2002,1.5,0,0,0,2,3,0,0,2,2
372,Viktor Gyökeres,FW,se Sweden,28,1998,4,1,0,0,4,7,1,1,0,1
373,Aziz G?aniyev,MF,uz Uzbekistan,28,1998,1.4,0,0,0,2,1,0,6,0,6
374,Erling Haaland,FW,no Norway,25,2000,5.2,0,0,0,5,3,0,1,1,0
375,Ihsan Haddad,DF,jo Jordan,32,1994,2.9,0,0,0,3,1,0,8,2,1
376,Anis Hadj Moussa,MF,dz Algeria,24,2002,1.1,0,0,0,0,2,0,5,1,0
377,Jaouen Hadjam,DF,dz Algeria,23,2003,1.2,0,0,0,0,0,0,1,1,1
378,Amir Hadžiahmetovi?,MF,ba Bosnia–Herz,29,1997,0.1,0,0,0,0,0,0,1,0,0
379,Dennis Hadžikaduni?,DF,ba Bosnia–Herz,27,1998,0.3,0,0,0,1,0,0,0,0,2
380,Karim Hafez,DF,eg Egypt,30,1996,1.9,0,0,0,1,2,0,3,3,1
381,Ehsan Hajsafi,DF,ir IR Iran,36,1990,1,1,0,0,2,1,0,2,1,0
382,Achraf Hakimi,DF,ma Morocco,27,1998,6.3,1,0,0,7,16,0,35,5,10
383,Redouane Halhal,DF,ma Morocco,23,2003,2,1,0,0,3,5,1,0,1,1
384,Ali Al Hamadi,FW,iq Iraq,24,2002,2,0,0,0,1,5,0,0,2,2
385,Abdullah Al-Hamdan,FW,sa Saudi Arabia,26,1999,0.8,0,0,0,2,0,0,1,0,0
386,Mohamed Amine Ben Hamida,DF,tn Tunisia,30,1995,2.2,0,0,0,3,1,0,1,1,9
387,Odiljon Hamrobekov,MF,uz Uzbekistan,30,1996,0.9,1,0,0,1,1,0,0,0,0
388,Lee Han-beom,DF,kr Korea Republic,23,2002,3,0,0,0,7,2,0,2,3,2
389,Grant Hanley,DF,sct Scotland,34,1991,2,0,0,0,1,0,1,0,1,2
390,Sontje Hansen,FW,cw Curaçao,24,2002,0.5,0,0,0,0,0,0,0,0,0
391,Mohamed Hany,DF,eg Egypt,30,1996,5.3,0,0,0,2,1,0,15,6,9
392,Moteb Al-Harbi,DF,sa Saudi Arabia,26,2000,2.1,0,0,0,0,4,0,1,4,1
393,Saleh Hardani,DF,ir IR Iran,27,1998,1,0,0,0,0,2,0,1,2,2
394,Carlos Harvey,MF,pa Panama,26,2000,3,1,0,0,8,3,0,0,0,3
395,Akam Hashim,DF,iq Iraq,27,1998,3,0,0,0,0,3,0,0,2,1
396,Haissem Hassan,MF,eg Egypt,24,2002,1.4,2,0,0,2,2,0,9,0,1
397,Jalal Hassan,GK,iq Iraq,35,1991,1.5,0,0,0,0,1,0,0,0,0
398,Abdulaziz Hatem,MF,qa Qatar,36,1990,0.5,0,0,0,1,0,0,0,0,0
399,Jorrel Hato,DF,nl Netherlands,20,2006,0.4,0,0,0,0,0,0,1,0,0
400,Kai Havertz,FW,de Germany,27,1999,3.9,1,0,0,3,4,1,1,1,2
401,Hassan Al-Haydos,MF,qa Qatar,35,1990,0.6,0,0,0,1,1,0,0,0,0
402,Jan Paul van Hecke,DF,nl Netherlands,26,2000,4.3,0,0,0,4,2,0,1,4,3
403,Hwang Hee-chan,FW,kr Korea Republic,30,1996,1.2,0,0,0,1,2,0,0,0,1
404,Torbjørn Heggem,DF,no Norway,27,1999,4.9,0,0,0,2,0,0,0,2,7
405,Alaa Al Hejji,MF,sa Saudi Arabia,30,1995,0.4,0,0,0,0,0,0,0,1,0
406,Dean Henderson,GK,eng England,29,1997,1,0,0,0,0,0,0,0,1,0
407,Jordan Henderson,MF,eng England,35,1990,0.1,1,0,0,0,1,0,2,0,1
408,Jack Hendry,DF,sct Scotland,31,1995,3,0,0,0,1,3,0,0,0,2
409,Luiz Henrique,FWMF,br Brazil,25,2001,0.3,0,0,0,0,1,0,0,0,0
410,Theo Hernández,DF,fr France,28,1997,2.9,0,0,0,2,4,0,6,3,1
411,Lucas Herrington,DF,au Australia,18,2007,2.3,0,0,0,2,0,0,0,2,1
412,Son Heung-min,FW,kr Korea Republic,33,1992,1.9,0,0,0,0,4,2,3,0,1
413,Aaron Hickey,DF,sct Scotland,24,2002,0.8,1,0,0,2,4,0,1,1,0
414,Isak Hien,DF,se Sweden,27,1999,2.4,1,0,0,3,3,0,0,1,3
415,Piero Hincapié,DF,ec Ecuador,24,2002,3.8,1,1,0,5,4,0,14,4,5
416,Adam Hložek,FW,cz Czechia,23,2002,1.7,0,0,0,4,4,0,0,1,1
417,Tomáš Holeš,DF,cz Czechia,33,1993,1.7,0,0,0,2,2,0,0,4,3
418,Amirhossein Hosseinzadeh,FW,ir IR Iran,25,2000,0.2,0,0,0,0,0,0,0,0,2
419,Robin Hraná?,DF,cz Czechia,26,2000,3,0,0,0,6,0,0,1,1,0
420,Ajdin Hrustic,MF,au Australia,29,1996,0.9,0,0,0,1,0,0,5,0,0
421,César Huerta,FWMF,mx Mexico,25,2000,0.1,0,0,0,0,0,0,0,0,0
422,Al-Hashmi Al-Hussain,MF,qa Qatar,22,2003,0.4,0,0,0,2,2,0,0,1,2
423,Ayman Hussein,FW,iq Iraq,30,1996,1.3,0,0,0,2,1,0,0,0,0
424,Oh Hyeon-gyu,FW,kr Korea Republic,25,2001,1.4,0,0,0,0,1,0,1,0,0
425,Yang Hyun-jun,FWMF,kr Korea Republic,24,2002,0.2,0,0,0,1,0,1,0,1,1
426,Roger Ibanez,DF,br Brazil,27,1998,0.5,1,0,0,2,1,0,0,1,2
427,Yasser Ibrahim,DF,eg Egypt,33,1993,5.2,2,0,0,6,3,0,0,3,6
428,Borja Iglesias,FW,es Spain,33,1993,0,0,0,0,0,0,0,0,0,0
429,Hwang In-beom,MF,kr Korea Republic,29,1996,2.9,0,0,0,1,1,0,2,4,2
